E[kV]	Velocity[cm/sec]	Mobility[corresp.]
0.0201	1.089e+004	5.410e+005
0.0346	1.844e+004	5.331e+005
0.0493	2.579e+004	5.233e+005
0.0644	3.355e+004	5.212e+005
0.0923	4.755e+004	5.149e+005
0.1151	5.869e+004	5.098e+005
0.1555	8.102e+004	5.211e+005
0.2072	1.027e+005	4.954e+005
0.2799	1.276e+005	4.558e+005
0.3988	1.627e+005	4.080e+005
0.4873	1.784e+005	3.661e+005
0.5056	1.849e+005	3.657e+005
0.7666	2.181e+005	2.845e+005
1.0112	2.430e+005	2.403e+005
1.2722	2.634e+005	2.070e+005
1.5169	2.830e+005	1.866e+005
1.7778	2.996e+005	1.685e+005
2.0225	3.147e+005	1.556e+005
2.2672	3.275e+005	1.445e+005
2.5118	3.419e+005	1.361e+005
2.7728	3.532e+005	1.274e+005
3.0174	3.638e+005	1.206e+005
3.2621	3.743e+005	1.148e+005
3.5067	3.872e+005	1.104e+005
3.7677	3.955e+005	1.050e+005
4.0287	4.038e+005	1.002e+005
4.7463	4.264e+005	8.984e+004
5.5456	4.551e+005	8.206e+004
6.3285	4.725e+005	7.466e+004
7.1114	4.951e+005	6.962e+004
7.8943	5.094e+005	6.453e+004
8.6772	5.291e+005	6.097e+004
9.4764	5.434e+005	5.734e+004
10.2593	5.562e+005	5.422e+004
11.0422	5.660e+005	5.126e+004
11.8414	5.766e+005	4.869e+004
12.6243	5.879e+005	4.657e+004
